scene_name,instance_token,sample_token,timestamp,x,y,category
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,700c1a25559b4433be532de3475e58a9,1533151605047769,654.306,1593.839,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,747aa46b9a4641fe90db05d97db2acea,1533151605548192,654.897,1593.314,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,f4f86af4da3b49e79497deda5c5f223a,1533151606048630,655.544,1592.867,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,6832e717621341568c759151b5974512,1533151606549066,656.181,1592.404,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,c59e60042a8643e899008da2e446acca,1533151607048933,656.818,1591.942,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,fa65a298c01f44e7a182bbf9e5fe3697,1533151607548824,657.449,1591.471,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,a98fba72bde9433fb882032d18aedb2e,1533151608048151,658.079,1590.999,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,1533151608548020,658.709,1590.528,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,796b1988dd254f74bf2fb19ba9c5b8c6,1533151609047890,659.34,1590.057,human.pedestrian.adult
scene-0103,0809d64df9264121bead0772ee9b5984_seg0,0d0700a2284e477db876c3ee1d864668,1533151609547766,659.97,1589.586,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,3e8750f331d7499e9b5123e9eb70f2e2,1533151603547590,631.815,1636.973,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,3950bd41f74548429c0f7700ff3d8269,1533151604048025,631.58,1636.905,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,c5f58c19249d4137ae063b0e9ecd8b8e,1533151604547893,631.313,1636.901,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,700c1a25559b4433be532de3475e58a9,1533151605047769,631.183,1636.842,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,747aa46b9a4641fe90db05d97db2acea,1533151605548192,631.237,1636.904,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,f4f86af4da3b49e79497deda5c5f223a,1533151606048630,630.954,1636.672,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,6832e717621341568c759151b5974512,1533151606549066,630.837,1636.638,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,c59e60042a8643e899008da2e446acca,1533151607048933,630.723,1636.597,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,fa65a298c01f44e7a182bbf9e5fe3697,1533151607548824,630.611,1636.55,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,a98fba72bde9433fb882032d18aedb2e,1533151608048151,630.652,1636.556,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,1533151608548020,630.693,1636.563,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,796b1988dd254f74bf2fb19ba9c5b8c6,1533151609047890,630.733,1636.569,human.pedestrian.adult
scene-0103,34aaf645a4174c6c8ff1874e6b33ccf6_seg0,0d0700a2284e477db876c3ee1d864668,1533151609547766,630.751,1636.537,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,3e8750f331d7499e9b5123e9eb70f2e2,1533151603547590,612.719,1632.142,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,3950bd41f74548429c0f7700ff3d8269,1533151604048025,612.166,1632.636,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,c5f58c19249d4137ae063b0e9ecd8b8e,1533151604547893,611.613,1633.13,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,700c1a25559b4433be532de3475e58a9,1533151605047769,611.127,1633.567,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,747aa46b9a4641fe90db05d97db2acea,1533151605548192,610.641,1634.005,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,f4f86af4da3b49e79497deda5c5f223a,1533151606048630,610.117,1634.417,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,6832e717621341568c759151b5974512,1533151606549066,609.593,1634.829,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,c59e60042a8643e899008da2e446acca,1533151607048933,609.068,1635.242,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,fa65a298c01f44e7a182bbf9e5fe3697,1533151607548824,608.474,1635.709,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,a98fba72bde9433fb882032d18aedb2e,1533151608048151,607.88,1636.176,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,1533151608548020,607.286,1636.643,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,796b1988dd254f74bf2fb19ba9c5b8c6,1533151609047890,606.786,1637.011,human.pedestrian.adult
scene-0103,3b19bb63d0924f4da3034819357d6c8b_seg0,0d0700a2284e477db876c3ee1d864668,1533151609547766,606.276,1637.363,human.pedestrian.adult
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,700c1a25559b4433be532de3475e58a9,1533151605047769,651.934,1624.096,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,747aa46b9a4641fe90db05d97db2acea,1533151605548192,652.31,1623.785,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,f4f86af4da3b49e79497deda5c5f223a,1533151606048630,652.686,1623.474,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,6832e717621341568c759151b5974512,1533151606549066,653.181,1623.053,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,c59e60042a8643e899008da2e446acca,1533151607048933,653.687,1622.622,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,fa65a298c01f44e7a182bbf9e5fe3697,1533151607548824,654.199,1622.179,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,a98fba72bde9433fb882032d18aedb2e,1533151608048151,654.693,1621.708,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,1533151608548020,655.187,1621.237,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,796b1988dd254f74bf2fb19ba9c5b8c6,1533151609047890,655.682,1620.766,human.pedestrian.child
scene-0103,3c7331d16ac6439e9bd5a57d75976446_seg0,0d0700a2284e477db876c3ee1d864668,1533151609547766,656.172,1620.277,human.pedestrian.child
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,c5f58c19249d4137ae063b0e9ecd8b8e,1533151604547893,626.734,1617.04,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,700c1a25559b4433be532de3475e58a9,1533151605047769,626.802,1617.485,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,747aa46b9a4641fe90db05d97db2acea,1533151605548192,626.871,1617.924,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,f4f86af4da3b49e79497deda5c5f223a,1533151606048630,626.876,1618.522,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,6832e717621341568c759151b5974512,1533151606549066,626.614,1618.936,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,c59e60042a8643e899008da2e446acca,1533151607048933,626.419,1619.383,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,fa65a298c01f44e7a182bbf9e5fe3697,1533151607548824,626.181,1619.809,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,a98fba72bde9433fb882032d18aedb2e,1533151608048151,625.925,1620.064,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,b6b0d9f2f2e14a3aaa2c8aedeb1edb69,1533151608548020,625.668,1620.319,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,796b1988dd254f74bf2fb19ba9c5b8c6,1533151609047890,625.411,1620.574,human.pedestrian.adult
scene-0103,5d77c275683248658e7564ef24bf63b2_seg0,0d0700a2284e477db876c3ee1d864668,1533151609547766,625.154,1620.829,human.pedestrian.adult
scene-0103,5dd3f11916924b7cb93687c10c7c83b6_seg0,700c1a25559b4433be532de3475e58a9,1533151605047769,640.071,1644.045,human.pedestrian.adult
